,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Vehicle Type
11,GE63585,,2420.71,,Basic,Bachelor,2/7/11,Employed,M,31710,Urban,Divorced,62,5.0,29,0,1,Corporate Auto,Corporate L3,Offer1,Call Center,199.55,Two-Door Car,Medsize,
12,EO51920,Oregon,19955.26,No,Extended,High School or Below,1/31/11,Employed,F,69096,Rural,Married,99,24.0,32,0,2,Corporate Auto,Corporate L3,Offer1,Agent,64.67,Four-Door Car,Medsize,
13,KR82385,California,5454.59,No,Basic,Master,1/26/11,Employed,M,66334,Suburban,Single,69,25.0,25,0,4,Personal Auto,Personal L3,Offer4,Call Center,331.2,Two-Door Car,Medsize,A
15,CW49887,California,4626.8,Yes,Basic,Master,1/16/11,Employed,F,79487,Suburban,Divorced,114,20.0,87,0,1,Special Auto,Special L1,Offer2,Branch,547.2,SUV,Medsize,
16,FH51383,California,5326.68,No,Basic,High School or Below,2/7/11,Employed,F,76717,Urban,Married,66,26.0,10,0,6,Personal Auto,Personal L3,Offer4,Call Center,300.53,Two-Door Car,Large,A
18,ZC97968,California,2736.35,No,Basic,College,2/14/11,Disabled,M,17533,Suburban,Married,73,10.0,1,0,1,Personal Auto,Personal L3,Offer1,Agent,350.4,Two-Door Car,Medsize,A
19,NJ54277,California,3746.75,Yes,Extended,College,2/26/11,Employed,F,41479,Rural,Married,94,14.0,38,1,1,Personal Auto,Personal L2,Offer2,Call Center,19.58,Two-Door Car,Large,A
21,RL65736,Oregon,6274.45,No,Extended,High School or Below,2/14/11,Medical Leave,F,13662,Suburban,Single,85,29.0,37,0,3,Personal Auto,Personal L1,Offer1,Agent,408.0,Four-Door Car,Small,
22,EQ62488,Oregon,15031.56,No,Basic,College,1/15/11,Employed,F,59456,Suburban,Married,189,11.0,7,0,8,Personal Auto,Personal L3,Offer2,Call Center,907.2,Luxury Car,Large,A
23,NQ71171,California,5107.07,No,Basic,Bachelor,2/2/11,Employed,M,70174,Rural,Married,64,,80,0,7,Personal Auto,Personal L2,Offer1,Agent,128.9,Four-Door Car,Medsize,
25,AY59197,Nevada,9521.22,No,Extended,College,1/24/11,Employed,M,27769,Rural,Married,121,24.0,78,0,6,Special Auto,Special L3,Offer4,Agent,123.15,SUV,Small,A
26,XF15789,Arizona,8869.62,No,Basic,College,2/21/11,Employed,F,81350,Rural,Married,110,1.0,28,0,9,Personal Auto,Personal L3,Offer3,Branch,228.19,SUV,Large,A
27,MQ68407,Oregon,4376.36,Yes,Premium,Bachelor,2/28/11,Employed,F,63774,Rural,Divorced,111,18.0,63,0,1,Personal Auto,Personal L3,Offer2,Agent,60.04,Four-Door Car,Medsize,
28,CI99444,Nevada,2926.89,No,Basic,College,2/22/11,Employed,F,92381,Urban,Married,72,24.0,27,0,1,Special Auto,Special L2,Offer2,Call Center,234.77,Four-Door Car,Medsize,A
29,BD70337,California,24706.92,No,Basic,High School or Below,1/7/11,Medical Leave,M,26307,Urban,Married,73,26.0,1,0,2,Personal Auto,Personal L2,Offer4,Call Center,313.19,Four-Door Car,Medsize,
31,DP19210,California,9191.73,No,Basic,Master,2/8/11,Employed,F,23823,Suburban,Married,115,5.0,39,0,6,Corporate Auto,Corporate L2,Offer2,Branch,567.48,Sports Car,Medsize,
32,OJ63606,Arizona,5776.34,No,Premium,High School or Below,1/28/11,Medical Leave,F,27510,Suburban,Married,159,5.0,28,3,1,Corporate Auto,Corporate L3,Offer1,Call Center,871.46,SUV,Small,A
33,OH23893,California,9115.57,No,Basic,Bachelor,2/15/11,Employed,F,69588,Rural,Married,114,19.0,45,0,6,Personal Auto,Personal L1,Offer1,Branch,173.08,SUV,Medsize,
34,RI76930,California,4163.04,No,Basic,College,2/12/11,Employed,F,43276,Suburban,Married,104,16.0,11,0,1,Personal Auto,Personal L3,Offer2,Call Center,499.2,SUV,Large,
36,OE15005,California,3945.24,No,Basic,College,1/5/11,Medical Leave,M,28855,Suburban,Married,101,12.0,59,0,1,Personal Auto,Personal L2,Offer3,Call Center,647.44,SUV,Medsize,
37,RA17555,Oregon,5176.73,No,Basic,High School or Below,2/7/11,Employed,M,41533,Urban,Married,65,2.0,46,0,9,Corporate Auto,Corporate L2,Offer3,Agent,232.88,Four-Door Car,Medsize,
38,ZI34278,Arizona,4492.23,No,Basic,Bachelor,1/28/11,Medical Leave,F,21137,Suburban,Single,61,29.0,62,1,6,Personal Auto,Personal L1,Offer2,Web,292.8,Four-Door Car,Medsize,
40,RR93140,California,2880.35,No,Basic,College,1/5/11,Employed,F,81565,Urban,Married,71,19.0,54,0,1,Personal Auto,Personal L2,Offer2,Branch,190.64,Four-Door Car,Medsize,A
41,BE25221,Arizona,6182.62,No,Extended,High School or Below,2/7/11,Medical Leave,M,20072,Suburban,Married,82,35.0,51,0,9,Corporate Auto,Corporate L3,Offer1,Agent,473.27,Four-Door Car,Medsize,
42,PV62583,Nevada,9799.18,No,Extended,College,1/3/11,Medical Leave,M,22166,Suburban,Married,126,10.0,22,0,6,Personal Auto,Personal L3,Offer1,Web,604.8,SUV,Medsize,A
43,BL12371,Arizona,5790.57,No,Basic,Master,2/3/11,Employed,M,84551,Rural,Divorced,72,10.0,82,0,5,Personal Auto,Personal L3,Offer2,Agent,28.93,Four-Door Car,Large,A
44,ER49844,Arizona,5041.45,No,Basic,College,1/19/11,Employed,M,61972,Rural,Married,64,2.0,52,2,5,Personal Auto,Personal L1,Offer4,Call Center,138.96,Four-Door Car,Medsize,
45,RI22468,Arizona,5745.94,No,Basic,Bachelor,1/22/11,Employed,F,57740,Urban,Married,74,30.0,87,3,9,Personal Auto,Personal L1,Offer3,Web,269.91,Four-Door Car,Medsize,A
47,PR23514,California,7664.22,No,Basic,College,1/23/11,Employed,M,60184,Rural,Divorced,199,7.0,44,1,1,Personal Auto,Personal L3,Offer2,Web,161.62,Luxury SUV,Medsize,
48,UY32623,California,3593.13,No,Extended,College,2/5/11,Disabled,F,18213,Suburban,Divorced,96,12.0,43,1,1,Corporate Auto,Corporate L2,Offer1,Branch,460.8,Four-Door Car,Large,A
49,QV30663,Nevada,9863.5,No,Extended,Master,2/28/11,Employed,F,99654,Rural,Married,121,13.0,95,0,3,Personal Auto,Personal L3,Offer3,Call Center,272.79,SUV,Medsize,A
50,MS94619,California,5111.3,No,Basic,High School or Below,2/13/11,Employed,F,76448,Suburban,Married,63,9.0,13,0,3,Personal Auto,Personal L3,Offer3,Web,302.4,Four-Door Car,Medsize,A
51,FT56968,Arizona,2590.1,No,Basic,High School or Below,1/3/11,Employed,M,22398,Suburban,Married,67,,76,0,1,Personal Auto,Personal L1,Offer1,Agent,321.6,Four-Door Car,Large,A
52,TX39594,Arizona,2452.49,No,Basic,High School or Below,1/25/11,Employed,F,51085,Suburban,Married,62,4.0,58,1,1,Personal Auto,Personal L3,Offer3,Call Center,406.9,Two-Door Car,Small,
55,XQ74827,Arizona,19435.63,No,Extended,High School or Below,2/1/11,Employed,F,38688,Suburban,Single,249,22.0,6,0,3,Special Auto,Special L3,Offer1,Agent,2294.63,Luxury Car,Medsize,A
56,TW17878,Oregon,2457.58,No,Basic,High School or Below,1/27/11,Employed,F,52926,Suburban,Married,61,2.0,92,0,1,Personal Auto,Personal L3,Offer1,Call Center,292.8,Four-Door Car,Medsize,
58,BR69566,,14019.83,,Basic,College,2/18/11,Employed,M,31739,Suburban,Divorced,71,10.0,29,0,2,Personal Auto,Personal L3,Offer4,Call Center,469.88,Two-Door Car,Small,
59,EP83939,Arizona,5575.75,No,Basic,High School or Below,1/26/11,Employed,M,91416,Rural,Married,69,,39,0,5,Personal Auto,Personal L3,Offer2,Call Center,109.9,Four-Door Car,Medsize,
60,IQ95180,Oregon,5651.4,No,Basic,Bachelor,1/19/11,Employed,M,44634,Suburban,Married,71,16.0,99,1,9,Personal Auto,Personal L3,Offer1,Branch,396.04,Four-Door Car,Small,A
61,JX52708,California,4556.07,No,Basic,Bachelor,2/14/11,Medical Leave,M,25617,Suburban,Divorced,63,22.0,3,0,3,Personal Auto,Personal L3,Offer2,Call Center,302.4,Two-Door Car,Medsize,A
64,WL24392,Arizona,5860.17,No,Basic,Bachelor,2/1/11,Employed,M,94527,Rural,Married,73,16.0,32,0,3,Personal Auto,Personal L1,Offer1,Agent,41.46,Four-Door Car,Medsize,A
65,LO57874,Oregon,2300.69,Yes,Basic,Bachelor,1/15/11,Retired,M,25905,Suburban,Divorced,63,21.0,12,0,1,Corporate Auto,Corporate L3,Offer1,Agent,302.4,Four-Door Car,Large,
66,UO54511,California,4950.25,No,Basic,High School or Below,1/20/11,Employed,F,27400,Suburban,Married,63,14.0,78,1,9,Personal Auto,Personal L1,Offer3,Agent,302.4,Four-Door Car,Medsize,A
67,KR35099,Washington,7507.46,Yes,Basic,College,2/6/11,Employed,M,60920,Urban,Single,64,,61,0,2,Personal Auto,Personal L3,Offer2,Agent,231.2,Two-Door Car,Medsize,A
69,QG27547,Oregon,2867.31,Yes,Extended,Bachelor,1/3/11,Retired,F,23376,Suburban,Divorced,78,19.0,18,0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,A
70,PH78214,Oregon,5427.17,No,Basic,College,2/11/11,Medical Leave,F,27677,Suburban,Married,72,10.0,82,1,3,Personal Auto,Personal L3,Offer2,Agent,345.6,Four-Door Car,Medsize,
71,LO37570,Arizona,12157.54,No,Extended,High School or Below,1/7/11,Employed,M,40432,Suburban,Married,77,21.0,66,0,2,Personal Auto,Personal L3,Offer3,Agent,369.6,Four-Door Car,Medsize,A
74,LD75023,Oregon,26346.09,No,Extended,High School or Below,1/20/11,Employed,M,48268,Suburban,Divorced,223,28.0,26,0,2,Personal Auto,Personal L2,Offer1,Web,1605.6,Luxury SUV,Medsize,
75,OZ92426,Oregon,2364.43,No,Basic,College,1/18/11,Employed,M,46264,Urban,Single,62,17.0,75,0,1,Corporate Auto,Corporate L1,Offer4,Branch,199.37,Four-Door Car,Medsize,
79,SX63814,Arizona,9312.59,No,Premium,High School or Below,2/13/11,Employed,M,75986,Rural,Married,115,11.0,44,0,3,Personal Auto,Personal L3,Offer3,Call Center,89.12,Four-Door Car,Medsize,
80,VM85555,California,7750.12,No,Basic,College,2/23/11,Employed,F,22668,Rural,Single,67,5.0,34,1,2,Personal Auto,Personal L2,Offer3,Branch,33.72,Four-Door Car,Medsize,A
81,RO18530,Washington,2540.69,No,Basic,Master,2/28/11,Employed,M,42557,Rural,Single,65,4.0,35,0,1,Personal Auto,Personal L3,Offer4,Agent,57.56,Four-Door Car,Large,
83,DY27653,Oregon,3755.81,No,Extended,High School or Below,1/4/11,Employed,F,56178,Suburban,Married,94,1.0,39,0,1,Personal Auto,Personal L3,Offer2,Branch,451.2,Four-Door Car,Medsize,
85,CH50584,Oregon,32474.77,No,Basic,High School or Below,1/22/11,Employed,M,71449,Suburban,Divorced,102,17.0,7,0,2,Personal Auto,Personal L3,Offer4,Call Center,734.4,SUV,Small,A
86,WM19996,California,8349.52,No,Basic,Bachelor,1/9/11,Employed,M,45428,Urban,Divorced,109,,46,0,3,Corporate Auto,Corporate L3,Offer1,Call Center,487.27,SUV,Medsize,A
87,ZH92587,Oregon,8126.77,No,Basic,College,2/22/11,Disabled,F,14616,Suburban,Married,107,,73,0,3,Personal Auto,Personal L3,Offer1,Agent,513.6,,,
88,CJ51511,Arizona,13466.92,Yes,Basic,High School or Below,2/23/11,Disabled,F,11432,Suburban,Married,119,,9,0,2,Corporate Auto,Corporate L3,Offer2,Agent,571.2,,,
89,ME37450,Arizona,5210.35,No,Basic,Bachelor,1/4/11,Employed,M,89781,Rural,Single,66,7.0,89,0,5,Special Auto,Special L2,Offer1,Agent,37.96,,,A
91,KD63933,California,7048.38,No,Basic,College,2/19/11,Medical Leave,M,24030,Suburban,Single,194,14.0,0,0,1,Personal Auto,Personal L1,Offer1,Agent,970.69,Luxury SUV,Medsize,
92,CM66204,Arizona,26770.45,No,Basic,College,1/23/11,Employed,F,26335,Urban,Married,113,32.0,7,1,2,Personal Auto,Personal L2,Offer1,Call Center,355.82,SUV,Large,
93,NV13794,Nevada,9549.11,No,Basic,High School or Below,2/9/11,Employed,F,55986,Urban,Married,119,3.0,60,0,9,Personal Auto,Personal L1,Offer1,Agent,388.51,SUV,Small,
94,HF75891,Washington,4331.46,No,Basic,High School or Below,2/11/11,Employed,F,82302,Suburban,Married,106,11.0,92,0,1,Personal Auto,Personal L2,Offer1,Branch,722.18,SUV,Medsize,
96,AV96010,Oregon,3289.12,No,Extended,College,1/29/11,Employed,M,40097,Rural,Single,92,23.0,35,4,1,Personal Auto,Personal L2,Offer1,Call Center,227.22,Two-Door Car,Medsize,
97,CA22248,Oregon,2505.42,No,Basic,Master,2/14/11,Employed,F,60546,Rural,Single,63,21.0,71,0,1,Personal Auto,Personal L3,Offer2,Branch,46.28,,,A
98,PK23339,Arizona,3417.95,No,Extended,High School or Below,1/25/11,Employed,F,72460,Urban,Married,85,9.0,76,0,1,Personal Auto,Personal L2,Offer2,Call Center,370.02,Four-Door Car,Medsize,A
101,UV12583,California,4700.58,No,Basic,College,2/18/11,Employed,F,76694,Suburban,Married,117,34.0,23,0,1,Personal Auto,Personal L1,Offer4,Agent,561.6,SUV,Medsize,A
102,VG56765,Arizona,2471.53,Yes,Basic,High School or Below,1/15/11,Employed,M,95697,Rural,Married,61,16.0,55,0,1,Personal Auto,Personal L2,Offer2,Agent,114.27,Two-Door Car,Medsize,A
103,AK11669,Arizona,10130.93,No,Extended,Doctor,1/17/11,Employed,F,59232,Suburban,Divorced,85,6.0,75,0,2,Corporate Auto,Corporate L3,Offer3,Branch,408.0,Two-Door Car,Medsize,A
104,SZ60450,California,3419.11,No,Extended,High School or Below,2/13/11,Employed,M,40272,Rural,Married,86,8.0,64,0,1,Personal Auto,Personal L3,Offer3,Agent,23.39,Two-Door Car,Medsize,
107,No31089,Arizona,3179.47,No,Extended,Bachelor,1/21/11,Employed,F,65742,Urban,Married,79,6.0,0,0,1,Personal Auto,Personal L3,Offer2,Call Center,277.36,Four-Door Car,Medsize,
108,SD83603,Oregon,6672.13,No,Extended,College,2/13/11,Employed,F,56830,Urban,Married,83,,27,0,9,Personal Auto,Personal L1,Offer2,Agent,319.8,Two-Door Car,Medsize,A
109,TK65222,California,16407.66,No,Premium,Bachelor,1/12/11,Employed,M,22103,Rural,Single,109,16.0,31,0,2,Personal Auto,Personal L2,Offer1,Agent,160.34,Four-Door Car,Large,
110,HB48073,Arizona,9371.77,No,Basic,Bachelor,2/1/11,Employed,F,66325,Urban,Married,117,10.0,10,0,5,Corporate Auto,Corporate L2,Offer1,Agent,497.72,SUV,Medsize,A
112,BA40043,California,5799.83,No,Basic,College,1/3/11,Employed,M,60689,Rural,Single,74,29.0,67,0,7,Corporate Auto,Corporate L2,Offer2,Branch,5.75,Four-Door Car,Medsize,
113,EC28398,Oregon,5096.67,Yes,Basic,Master,1/28/11,Disabled,F,22886,Suburban,Divorced,65,9.0,81,0,3,Corporate Auto,Corporate L2,Offer1,Agent,312.0,Four-Door Car,Small,A
115,HS39343,Washington,7475.78,No,Basic,Bachelor,1/26/11,Disabled,F,29633,Urban,Married,196,26.0,57,0,1,Corporate Auto,Corporate L3,Offer1,Agent,534.65,Luxury Car,Medsize,A
116,GL44478,Oregon,9986.66,No,Extended,High School or Below,1/22/11,Disabled,M,24067,Suburban,Single,132,12.0,2,0,6,Corporate Auto,Corporate L3,Offer2,Branch,633.6,Sports Car,Medsize,
117,EF84269,California,5568.66,No,Extended,College,2/21/11,Employed,F,51489,Rural,Married,139,14.0,10,0,1,Personal Auto,Personal L2,Offer1,Web,236.74,SUV,Medsize,A
120,OO89057,California,4014.33,No,Extended,Master,2/17/11,Employed,F,54054,Rural,Married,99,7.0,55,0,1,Personal Auto,Personal L2,Offer2,Branch,5.66,Four-Door Car,Medsize,
122,EW33419,California,15114.4,Yes,Basic,High School or Below,1/19/11,Medical Leave,F,28513,Suburban,Married,100,4.0,22,1,2,Corporate Auto,Corporate L2,Offer2,Call Center,480.0,SUV,Medsize,A
124,GU99037,Oregon,2452.98,No,Basic,College,2/14/11,Employed,M,79898,Urban,Married,62,5.0,86,1,1,Corporate Auto,Corporate L1,Offer4,Agent,271.61,Four-Door Car,Medsize,
125,BM92346,California,3919.37,Yes,Extended,High School or Below,1/5/11,Employed,F,66676,Suburban,Married,97,0.0,40,0,1,Personal Auto,Personal L1,Offer3,Agent,558.1,Four-Door Car,Small,
126,TE60343,,4716.26,,Basic,High School or Below,2/25/11,Employed,M,25746,Suburban,Married,61,0.0,84,1,3,Corporate Auto,Corporate L3,Offer2,Agent,292.8,Four-Door Car,Medsize,A
127,RU75949,Oregon,12332.52,No,Basic,College,2/28/11,Employed,M,85789,Rural,Married,105,18.0,54,2,2,Personal Auto,Personal L1,Offer1,Agent,122.3,Sports Car,Medsize,
128,PP35705,California,35862.99,No,Extended,High School or Below,2/26/11,Medical Leave,M,26376,Suburban,Divorced,121,7.0,19,0,2,Personal Auto,Personal L3,Offer1,Agent,580.8,SUV,Small,
129,ZM45168,Oregon,2398.35,No,Basic,College,2/14/11,Disabled,M,14321,Suburban,Single,65,20.0,72,0,1,Personal Auto,Personal L2,Offer1,Branch,423.82,Four-Door Car,Medsize,A
130,SH93005,California,6005.85,Yes,Extended,College,2/23/11,Retired,M,13528,Suburban,Single,86,21.0,35,0,3,Personal Auto,Personal L3,Offer1,Agent,412.8,Four-Door Car,Medsize,
132,CJ72056,California,8013.9,No,Basic,Bachelor,1/17/11,Employed,M,65636,Suburban,Married,67,15.0,72,0,2,Personal Auto,Personal L2,Offer2,Call Center,321.6,Four-Door Car,Medsize,
134,BP28492,Arizona,4834.71,Yes,Basic,College,1/31/11,Employed,F,38713,Suburban,Divorced,66,31.0,69,4,6,Corporate Auto,Corporate L3,Offer2,Call Center,316.8,Four-Door Car,Medsize,A
136,ZJ90079,Arizona,5525.47,No,Basic,College,2/1/11,Employed,F,64816,Suburban,Married,69,30.0,33,0,7,Corporate Auto,Corporate L2,Offer3,Agent,331.2,Four-Door Car,Small,
139,UI80897,Washington,5552.6,No,Basic,High School or Below,2/27/11,Employed,M,50470,Suburban,Divorced,71,1.0,87,0,8,Corporate Auto,Corporate L2,Offer4,Call Center,377.5,Two-Door Car,Large,A
140,OJ65428,Nevada,3842.03,No,Premium,College,1/19/11,Disabled,M,27906,Suburban,Divorced,102,5.0,57,0,1,Personal Auto,Personal L3,Offer2,Call Center,489.6,Four-Door Car,Medsize,
141,WP64059,California,5093.38,No,Basic,Bachelor,1/6/11,Employed,F,91814,Urban,Married,63,30.0,99,0,3,Personal Auto,Personal L1,Offer3,Call Center,167.04,Two-Door Car,Medsize,A
142,IP52990,Oregon,16794.31,No,Basic,High School or Below,2/24/11,Employed,F,38399,Urban,Married,106,12.0,6,0,2,Personal Auto,Personal L3,Offer2,Web,368.89,SUV,Medsize,A
143,VF36700,Oregon,24278.1,No,Extended,Master,2/26/11,Retired,F,20983,Urban,Single,97,10.0,52,1,2,Personal Auto,Personal L2,Offer1,Branch,451.75,Four-Door Car,Medsize,A
144,NR16284,California,7462.93,Yes,Extended,College,1/28/11,Employed,F,70263,Rural,Married,93,30.0,66,0,5,Personal Auto,Personal L3,Offer2,Call Center,7.35,Two-Door Car,Small,A
146,XX53620,Oregon,2891.27,No,Basic,Bachelor,2/2/11,Employed,F,80590,Rural,Married,71,4.0,19,0,1,Corporate Auto,Corporate L3,Offer4,Branch,134.16,Four-Door Car,Small,A
147,AZ38648,Washington,11981.98,Yes,Basic,Master,1/20/11,Retired,F,21514,Urban,Married,62,0.0,59,0,2,Personal Auto,Personal L3,Offer1,Agent,257.25,Two-Door Car,Medsize,
148,HB24005,California,2347.05,No,Basic,College,2/2/11,Employed,M,31617,Urban,Single,62,17.0,29,1,1,Personal Auto,Personal L1,Offer1,Agent,244.27,,,A
149,AV76907,Oregon,4282.95,Yes,Basic,College,2/26/11,Employed,F,40864,Rural,Married,109,16.0,70,1,1,Personal Auto,Personal L3,Offer1,Agent,166.94,SUV,Medsize,
150,ER97256,Arizona,5380.9,Yes,Basic,College,2/24/11,Employed,F,55350,Suburban,Married,67,0.0,13,0,9,Personal Auto,Personal L3,Offer1,Agent,321.6,Four-Door Car,Medsize,
151,CJ97736,Oregon,5828.18,No,Basic,College,2/16/11,Employed,F,31364,Suburban,Married,74,28.0,47,0,3,Personal Auto,Personal L3,Offer2,Web,461.27,Four-Door Car,Small,
152,AZ64856,California,5048.05,No,Extended,High School or Below,2/17/11,Employed,F,34452,Suburban,Married,126,2.0,51,0,1,Personal Auto,Personal L1,Offer4,Agent,604.8,SUV,Large,A
153,SA88518,Oregon,7737.27,No,Basic,College,1/19/11,Employed,F,50296,Rural,Married,65,26.0,62,1,2,Personal Auto,Personal L2,Offer1,Call Center,46.8,Two-Door Car,Medsize,A
154,ED61615,California,7950.18,No,Basic,High School or Below,1/21/11,Employed,M,26189,Suburban,Single,69,6.0,42,0,2,Personal Auto,Personal L2,Offer3,Agent,331.2,Four-Door Car,Small,
155,JG35886,,4111.89,,Premium,College,1/21/11,Employed,F,65085,Urban,Married,103,20.0,55,0,1,Personal Auto,Personal L2,Offer2,Call Center,480.07,Four-Door Car,Medsize,A
157,DB26077,Arizona,4873.44,No,Extended,High School or Below,1/5/11,Retired,F,18866,Suburban,Married,126,4.0,62,0,1,Personal Auto,Personal L2,Offer3,Call Center,604.8,SUV,Medsize,
159,KX55910,Oregon,4957.03,No,Basic,College,1/15/11,Employed,F,62803,Suburban,Married,62,16.0,12,0,5,Personal Auto,Personal L3,Offer2,Web,400.96,Two-Door Car,Small,A
160,PJ86059,Oregon,2655.86,No,Basic,High School or Below,1/4/11,Employed,F,83460,Suburban,Divorced,66,20.0,18,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,443.45,Four-Door Car,Medsize,
161,QB47024,Washington,5898.73,No,Extended,Bachelor,2/17/11,Employed,F,53998,Suburban,Divorced,78,5.0,38,5,8,Personal Auto,Personal L3,Offer1,Call Center,414.52,Four-Door Car,Medsize,A
162,LG64797,California,17723.76,No,Extended,College,2/18/11,Employed,F,25771,Suburban,Married,222,21.0,58,0,4,Personal Auto,Personal L1,Offer1,Branch,1253.98,Luxury SUV,Medsize,
163,TP34946,California,5108.04,No,Basic,College,1/9/11,Disabled,M,26784,Suburban,Married,67,14.0,82,0,8,Corporate Auto,Corporate L3,Offer3,Branch,482.4,,,
164,OO63074,California,4517.91,No,Basic,Bachelor,2/9/11,Medical Leave,F,25261,Suburban,Married,118,31.0,9,0,1,Personal Auto,Personal L3,Offer4,Branch,566.4,SUV,Medsize,
166,TW73441,Nevada,2773.46,No,Basic,High School or Below,1/26/11,Employed,F,73478,Urban,Married,68,2.0,38,0,1,Personal Auto,Personal L2,Offer2,Call Center,241.89,Four-Door Car,Medsize,A
168,FV22585,,6960.92,,Extended,College,2/4/11,Employed,M,74487,Rural,Divorced,88,8.0,86,0,3,Personal Auto,Personal L1,Offer1,Call Center,16.71,Four-Door Car,Medsize,
169,AU23837,,5010.38,,Basic,Bachelor,1/19/11,Employed,F,64014,Urban,Single,63,,27,0,7,Corporate Auto,Corporate L3,Offer1,Agent,295.87,Four-Door Car,Large,A
170,YN39714,Oregon,8488.56,No,Basic,High School or Below,1/4/11,Employed,F,80213,Suburban,Married,70,12.0,17,0,2,Personal Auto,Personal L3,Offer1,Branch,440.27,Two-Door Car,Medsize,
171,HX74855,Washington,2471.53,Yes,Basic,High School or Below,1/15/11,Employed,M,95697,Rural,Married,61,16.0,55,0,1,Personal Auto,Personal L3,Offer2,Agent,114.27,Two-Door Car,Medsize,A
172,ME44353,Oregon,5876.05,No,Basic,College,2/9/11,Employed,F,32848,Urban,Married,74,,59,0,5,Personal Auto,Personal L2,Offer3,Call Center,250.45,Four-Door Car,Medsize,
174,MV69686,Oregon,3982.18,No,Extended,Doctor,1/3/11,Employed,F,38500,Urban,Married,99,26.0,49,1,1,Corporate Auto,Corporate L2,Offer1,Agent,423.29,Four-Door Car,Large,A
175,IB67546,California,8237.04,No,Basic,Bachelor,1/17/11,Medical Leave,F,23940,Suburban,Married,107,13.0,34,0,7,Personal Auto,Personal L3,Offer1,Call Center,513.6,SUV,Small,A
176,AV93209,California,12487.58,No,Premium,High School or Below,1/11/11,Employed,F,31283,Suburban,Married,104,,3,0,2,Personal Auto,Personal L3,Offer1,Agent,499.2,Four-Door Car,Medsize,
179,DQ19343,California,5583.07,No,Basic,High School or Below,2/22/11,Employed,F,57925,Urban,Single,72,33.0,13,1,3,Corporate Auto,Corporate L2,Offer1,Agent,204.62,Two-Door Car,Medsize,
180,IG89777,California,7356.56,No,Extended,High School or Below,1/9/11,Employed,M,81145,Urban,Married,92,34.0,92,0,8,Corporate Auto,Corporate L2,Offer2,Call Center,321.06,Two-Door Car,Large,A
181,SH48087,California,10144.31,No,Extended,College,1/29/11,Medical Leave,F,27231,Suburban,Married,88,0.0,7,0,2,Personal Auto,Personal L2,Offer1,Branch,422.4,Four-Door Car,Medsize,
